0.068843,0.037389,0.02908,0.027893,0.027893,0.026706,0.018398,0.017211,0.014243,0.012463,4,16,6
0.068843,0.037389,0.02908,0.027893,0.027893,0.026706,0.018398,0.017211,0.014243,0.012463,4,16,6
0.059439,0.032471,0.03137,0.03137,0.028068,0.020363,0.018162,0.017611,0.01596,0.014309,5,16,6
0.074965,0.030174,0.030174,0.02546,0.023102,0.01603,0.013673,0.011315,0.011315,0.010372,4,16,6
0.077148,0.032944,0.026272,0.020017,0.017515,0.015847,0.01251,0.010842,0.010842,0.010842,4,16,6
0.052216,0.032682,0.028174,0.02592,0.023291,0.013899,0.013524,0.013524,0.01127,0.010894,4,15,6
0.048754,0.029614,0.028169,0.024919,0.016612,0.015168,0.013362,0.013001,0.01264,0.011557,4,15,6
0.046952,0.032949,0.030478,0.02883,0.024712,0.021417,0.014003,0.01318,0.011532,0.010708,5,25,7
0.050907,0.033705,0.029521,0.025337,0.023477,0.020688,0.016272,0.014877,0.013715,0.01232,5,19,7
0.071856,0.035928,0.035928,0.035928,0.02994,0.023952,0.023952,0.023952,0.017964,0.017964,5,21,7
0.047728,0.035796,0.027077,0.020193,0.017898,0.015603,0.015603,0.015145,0.014227,0.013309,5,17,7
0.04271,0.038292,0.036819,0.02651,0.017673,0.0162,0.0162,0.014728,0.014728,0.013255,5,28,7
0.063552,0.040739,0.031505,0.027159,0.02553,0.018468,0.016295,0.014666,0.014123,0.01032,5,25,7
0.04787,0.033924,0.031285,0.021862,0.021108,0.017716,0.017716,0.016962,0.016208,0.014323,5,24,7
0.055759,0.035649,0.032907,0.031079,0.026508,0.021024,0.02011,0.014625,0.011883,0.010969,5,18,7
0.098081,0.036247,0.027719,0.022033,0.021677,0.01919,0.018479,0.013859,0.012793,0.012082,5,21,7
0.067235,0.046663,0.030105,0.023081,0.020572,0.017561,0.016056,0.015053,0.013547,0.012042,5,28,7
